time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,18,8,1,1
2026-05-31 00:00:00+00:00,22,8,0,0
2026-06-01 00:00:00+00:00,26,11,0,0
2026-06-02 00:00:00+00:00,14,5,1,1
2026-06-03 00:00:00+00:00,25,11,0,0
2026-06-04 00:00:00+00:00,17,7,2,2
2026-06-05 00:00:00+00:00,15,5,0,0
2026-06-06 00:00:00+00:00,12,5,0,0
2026-06-07 00:00:00+00:00,19,9,0,0
2026-06-08 00:00:00+00:00,9,5,1,1
2026-06-09 00:00:00+00:00,9,5,0,0
2026-06-10 00:00:00+00:00,21,7,0,0
2026-06-11 00:00:00+00:00,15,8,0,0
2026-06-12 00:00:00+00:00,20,10,0,0
