time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,29,9,0,0
2026-06-15 00:00:00+00:00,26,10,0,0
2026-06-16 00:00:00+00:00,20,5,0,0
2026-06-17 00:00:00+00:00,21,7,0,0
2026-06-18 00:00:00+00:00,27,7,2,1
2026-06-19 00:00:00+00:00,40,11,0,0
2026-06-20 00:00:00+00:00,27,7,1,1
2026-06-21 00:00:00+00:00,25,6,0,0
2026-06-22 00:00:00+00:00,44,11,0,0
2026-06-23 00:00:00+00:00,41,11,0,0
2026-06-24 00:00:00+00:00,47,13,5,1
2026-06-25 00:00:00+00:00,39,10,1,1
2026-06-26 00:00:00+00:00,22,9,0,0
2026-06-27 00:00:00+00:00,10,4,0,0
