time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,10,4,0,0
2026-04-15 00:00:00+00:00,2,2,0,0
2026-04-16 00:00:00+00:00,35,11,0,0
2026-04-17 00:00:00+00:00,12,6,0,0
2026-04-18 00:00:00+00:00,32,10,0,0
2026-04-19 00:00:00+00:00,15,9,0,0
2026-04-20 00:00:00+00:00,40,18,1,1
2026-04-21 00:00:00+00:00,81,30,0,0
2026-04-22 00:00:00+00:00,94,32,0,0
2026-04-23 00:00:00+00:00,108,34,1,1
2026-04-24 00:00:00+00:00,72,27,1,1
2026-04-25 00:00:00+00:00,82,28,0,0
2026-04-26 00:00:00+00:00,29,9,0,0
2026-04-27 00:00:00+00:00,29,10,0,0
